departement;nom;adresse_1;adresse2;adresse3;code_postal;ville;email;telephone;fax;web;wgs84
94;Théâtre des 2 rives;107 rue de Paris;;;94220;Charenton-le-Pont;herve.masquelier@charenton.fr;01 46 76 67 01;01 46 76 67 29;http://www.lestheatres.fr;48.8232583,2.41068
94;Plateau 31;31, rue Henri Kleynhoff;;;94250;Gentilly;contact@plateau31.com;01 45 46 92 02;;http://www.plateau31.com;48.8141471,2.3379191
95;Conservatoire départemental de musique, de danse et de théâtre d'Argenteuil;50 boulevard Héloïse;;;95100;Argenteuil;;01 39 61 70 01;;http://www.argenteuil.fr/262-le-conservatoire-a-rayonnement-departemental.htm;48.9417753,2.2520174
95;Centre Culturel de Beauchamp;Château de la Chesnaie;4 avenue Jules Michelet;;95250;Beauchamp;culture@ville-beauchamp.fr;01 34 18 33 58;01 34 18 33 62;http://www.ville-beauchamp.fr;49.0064398,2.2024736
95;L'apostrophe, Théâtre des Arts;Place des Arts;;;95300;Cergy;accueil@lapostrophe.net;01 34 20 14 25;;http://www.lapostrophe.net;49.0364,2.078183
95;L'Orangerie;Allée des Vergers;;;95700;Roissy-en-France;giordano@ville-roissy95.fr;01 34 29 48 59;;http://www.office-tourisme-roissy.com;48.9829367,2.4507284
78;Théâtre de Saint-Quentin-en-Yvelines;Place Georges Pompidou;;;78180;Montigny-le-Bretonneux;administration@tsqy.org;01 30 96 99 30;01 30 96 99 29;http://www.theatresqy.org;48.7838229,2.0428416
91;Médiathèque Elsa Triolet à Ris-Orangis;17 rue du château d'eau;;;91130;Ris-Orangis;;01 69 02 10 70;;http://www.agglo-evry.fr/La-Culture/Le-reseau-des-mediatheques/infrastructure/Mediatheque-Elsa-Triolet;48.6476428,2.4002045
91;Espace Gérard Philipe de Fontenay-sous-Bois;Rue Sangnier;;;91700;Sainte-Geneviève-des-Bois;;01 69 46 80 57;;;48.64052059999999,2.3283799
92;ESCAL - Espace Albert Gazier;110, rue Jean Bleuzen;;;92170;Vanves;espace.gazier@ville-vanves.fr;01 45 29 34 45;01 46 42 83 50;;48.8242803,2.2988353
92;Conservatoire Maurice Ravel de Levallois-Perret;3, rue Gabriel Peri;;;92300;Levallois-Perret;;01 47 15 76 76;;;48.8890419,2.2904591
92;Espace 89;157 boulevard Gallieni;;;92390;Villeneuve-la-Garenne;culture.villeneuve@wanadoo.fr;01 47 94 25 10;01 47 92 92 10;http///www.culturevilleneuve92.fr;48.93154,2.3322157
93;Les Roches, Maisons du théâtre;10, rue des Roches;;;93100;Montreuil;lesroches@mauvaiseherbe.com;01 49 88 79 87;01 55 86 97 19;http://les.roches.free.fr;48.873801,2.4593284
93;TGP, Théâtre Gérard Philipe;59 boulevard Jules Guesde;;;93200;Saint-Denis;;01 48 13 70 10;;http://www.theatregerardphilipe.com/;48.9375811,2.3505831
75;Théâtre Michel;38, rue des Mathurins;;;75008;Paris 08;administration@theatre-michel.fr;01 42 65 41 30;;http://www.theatre-michel.fr/;48.8732879,2.3254675
75;Théâtre de la Ville - Les Abbesses;31, rue des Abbesses;;;75018;Paris 18;;;;http://www.theatredelaville-paris.com;48.884841,2.337333
75;Cité de la Musique;221, avenue Jean Jaurès;;;75019;Paris 19;directiongenerale@cite-musique.fr;01 44 84 44 84;;http://www.cite-musique.fr;48.8895857,2.3939185
77;La Bergerie - Espace culturel;Cour Émile Zola;1 rue Delattre de Tassigny;;77370;Nangis;service.culturel@mairie-nangis.fr;01 64 60 52 09;;http://www.ville-nangis.fr;48.554611,3.013535
77;Médiathèque Gérard-Billy;10, allée Vieille et Gentil;;;77400;Lagny-sur-Marne;mediatheque@lagny-sur-marne.fr;01 60 07 62 40;;http://www.mediatheque-gerard-billy.fr;48.8760725,2.7043543999999997
75;Bouffes Parisiens;4, rue Monsigny;;;75002;Paris 02;nathalie.cacheux@bouffesparisiens.com;01 42 96 92 40;01 42 86 88 73;http://www.bouffesparisiens.com;48.86839029999999,2.3354035
75;Maison des Pratiques Artistiques Amateurs;Auditorium Saint-Germain;4, rue Félibien;;75006;Paris 06;contact@mpaa.fr;01 46 34 68 58;01 46 34 68 71;http://www.mpaa.fr;48.85191409999999,2.3367057
75;Opéra National de Paris - Palais Garnier;8, rue Scribe;;;75009;Paris 09;;01 40 01 80 54;;http://www.operadeparis.fr;48.8719343,2.3317666
75;L'Entrepôt;7/9, rue Francis de Pressensé;;;75014;Paris 14;communication@lentrepot.fr;;01 45 40 07 51;http://www.lentrepot.fr;48.8338664,2.3165939
75;Le Trianon;80, boulevard Rochechouart;;;75018;Paris 18;contact@letrianon.fr;01 44 92 78 00;01 72 70 36 02;http://www.letrianon.fr/;48.882877,2.3431100000000002
77;Espace Cordier - Le Chaudron;361, avenue du Vercors;;;77350;Le Mée-sur-Seine;info@lechaudron.org;01 64 10 24 54;01 64 10 24 59;http://www.lechaudron.org;48.5422725,2.6359757
78;Médiathèque Anatole France à Trappes;Plaine de Neauphle;1 place de la Médiathèque;;78190;Trappes;mediatheque-anatole.france@agglo-sqy.fr;01 30 50 97 21;01 30 50 02 66;http://www.mediatheques.agglo-sqy.fr/les-mediatheques/les-mediatheques/anatole-france/;48.7814531,1.9832415
94;Pôle culturel d'Alfortville;Parvis des Arts;Angle rue Marcel Bourdarias et rue Joseph Franceschi;;94140;Alfortville;;01 58 73 29 17;;http://www.pole-culturel.fr/;48.80558629999999,2.4218315
75;Médiathèque musicale de Paris;8 porte Saint-Eustache;;;75001;Paris 01;mmp@paris.fr;01 55 80 75 30;;;48.862357,2.345843
75;Centre Culturel†Italien;4 rue des Prêtres St Séverin;;;75005;Paris 05;;01 46 34 27 00;01 43 54 20 85;http://www.centreculturelitalien.com/;48.852272,2.345275
75;Espace Saint-Michel;7 place Saint-Michel;;;75005;Paris 05;espacesaintmichel@fr.st;01 44 07 20 49;;http://cinemasaintmichel.free.fr/;48.8531155,2.344223
75;La Boutonnière;25, rue Popincourt;;;75011;Paris 11;laboutonniere@gmail.com;01 43 55 05 32;;http://la.boutonniere.free.fr;48.85814790000001,2.3767665
75;Petit bain;7 Ports de la Gare;(Au pied de la BnF, à côté de la Piscine Joséphine Baker);;75013;Paris 13;contact@petitbain.org;01 43 49 68 92;;http://www.petitbain.org;48.833008,2.379376
75;Théâtre Clavel;3, rue Clavel;;;75019;Paris 19;contact@theatre-clavel.com;;01 42 38 11 35;http://www.theatre-clavel.com;48.8744026,2.385113
91;Théâtre du Jardin Planétaire;En construction...;;;91350;Grigny;http://amin-theatre.fr/site/index.php?dossier_id=64;;;;48.656473,2.385166
92;Conservatoire à rayonnement intercommunal de musique et de danse à Fontenay-aux-Roses;3 bis rue du Docteur Soubise;;;92260;Fontenay-aux-Roses;conservatoire.fontenay92@suddeseine.fr;01 43 50 67 67;;http://www.fontenay-aux-roses.fr/loisirs-culture-sport/culture/conservatoire/;48.7876526,2.2869065
93;Médiathèque Elsa Triolet à L’Ile-Saint-Denis;3, rue Lénine;;;93450;L'Ile-Saint-Denis;sylvie.beaufol@plainecommune.com.fr;01 49 22 11 10;;http://www.mediatheques-plainecommune.fr/;48.9352783,2.3401417
94;Le Générateur;16 rue Charles Frérot;;;94250;Gentilly;contact@legenerateur.com;01 49 86 99 14;01 49 86 90 11;http://www.legenerateur.com/;48.8160733,2.3521448
95;Maison des loisirs et des arts;24 rue Victor Basch;BP 60088;;95111;Sannois Cedex;mla.sannois@wanadoo.fr;01 34 11 30 78;01 39 80 93 22;http://www.ville-sannois.fr;48.9704554,2.2535088
78;Médiathèque Georges-Duhamel à Mantes-la-Jolie;Square Brieussel-Bourgeois;;;78200;Mantes-la-Jolie;contactmediatheque@manteslajolie.fr;01 34 78 81 01;;;48.9882484,1.7143392
91;Théâtre municipal de l'Envol;2-4 rue Danièle Casanova;;;91170;Viry-Châtillon;;01 69 12 64 91;;http://www.viry-chatillon.fr/envol/envol.html;48.6739893,2.3762163
91;Le Colombier;3, voie de l'Aulne;BP 86;;91371;Verrières-le-Buisson Cedex;lecombier-verrieres@wanadoo.fr;01 69 53 10 36;01 60 11 90 30;;48.7547575,2.2695233
92;Centre d'Art et de Culture de Meudon;15 boulevard des Nations-Unies;;;92190;Meudon;centre.art@mairie-meudon.fr;01 49 66 68 80;01 49 66 68 85;;48.8139651,2.2354575
93;Canal 93;63, avenue Jean Jaurès;;;93000;Bobigny;canalcommunication@canal93.net;01 49 91 10 50;;http://www.canal93.net;48.90213809999999,2.440522000000001
94;Théâtre Studio;16 rue Marcelin Berthelot;;;94140;Alfortville;accueil@theatre-studio.com;;;http://www.theatre-studio.com;48.813394,2.4125738
94;Espace culturel Dispan de Floran;11, rue des Jardins;;;94240;L'Ha?-les-Roses;;;;http://www.lhaylesroses.fr/article/view/1097;48.779974,2.337185
94;Médiathèque Louis Aragon à Choisy-le-Roi;14 rue Waldeck-Rousseau;;;94600;Choisy-le-Roi;bibaragon@wanadoo.fr;01 48 92 44 60;01 48 53 90 92;http://bit.ly/eycj1n;48.7617898,2.4084599
95;La Cave Dîmière;107 rue Paul Vaillant Couturier;;;95100;Argenteuil;culture@ville-argenteuil.fr;01 34 23 58 33;;;48.9432329,2.248787
95;Fondation Royaumont;;;;95270;Asnières-sur-Oise;;01 30 35 59 70;01 30 35 39 45;http://www.royaumont.com;49.1477,2.3812100000000003
95;Théâtre de l'Usine;33 chemin d'Andrésy;BP 60082 Eragny;;95612;Cergy-Pontoise cedex;;01 30 37 84 57;01 34 64 15 81;http://www.theatredelusine.net;49.0152523,2.0900503
75;Café de la Danse;5, passage Louis-Philippe;;;75011;Paris 11;contact@cafedeladanse.com;01 47 00 57 59;01 48 05 65 22;http://www.cafedeladanse.com;48.854099,2.372899
75;Théâtre Astral;Parc Floral de Paris;;;75012;Paris 12;theatre.astral@wanadoo.fr;01 43 71 31 10;;http://www.theatreastral.com/;48.83834,2.44645
75;Théâtre de l'Opprimé;78-80, rue du Charolais;;;75012;Paris 12;theatredelopprime@tdopp.com;01 43 45 81 20;;http://www.theatredelopprime.fr;48.8431495,2.3829504
75;Galerie numeriscausa;53, bd Beaumarchais;;;75003;Paris 03;contact@numeriscausa.com;01 42 78 24 26;;http://www.numeriscausa.com;48.8572088,2.3681049
75;Théâtre de la Ville;2, place du Châtelet;;;75004;Paris 04;;01 48 87 54 42;01 48 87 81 15;http://www.theatredelaville-paris.com/;48.857529,2.347702
75;Salle Pleyel;252, rue du Faubourg Saint-Honoré;;;75008;Paris 08;rp@sallepleyel.fr;01 53 38 38 00;01 53 38 38 01;http://www.sallepleyel.fr;48.87698,2.300895
75;Tremplin Théâtre;39, rue des Trois-Frères;;;75018;Paris 18;contact@tremplintheatre.fr;01 48 60 66 05;01 49 63 94 94;http://www.tremplintheatre.fr;48.88509,2.339747
75;Bibliothèque Sorbier à Paris;17 rue Sorbier;;;75020;Paris 20;bibliotheque.sorbier@paris.fr;01 46 36 17 79;;;48.865991,2.3927994
77;Médiathèque Luxembourg à Meaux;2 rue Cornillon;BP 213;;77100;Meaux;;01 64 36 40 50;01 64 34 90 52;http://www.mediatheques.meaux.fr/;48.9552201,2.8789754
78;L'Estaminet Café Culture;Esplanade Gérard Philipe;Quartier du Buisson;;78110;Magny-les-Hameaux;georges.silvestre@magny-les-hameaux.fr;01 30 23 44 28;;http://www.ville-magny-les-hameaux.fr;48.741829,2.053208
78;Théâtre Gérard Philipe de Saint-Cyr-l'École;Rue Gérard Philipe;;;78210;Saint-Cyr-l'École;;01 30 14 82 95;01 30 23 09 91;http://www.saintcyr78.fr;48.8044334,2.0526908
75;Centre Georges Pompidou;Place Georges Pompidou;;;75004;Paris 04;vivant.spectacle@centrepompidou.fr;;;http://www.centrepompidou.fr;48.860646,2.352237
75;Le Point Virgule;7, rue Sainte-Croix de la Bretonnerie;;;75004;Paris 04;le-point-virgule@orange.fr;01 42 78 67 03;;http://www.lepointvirgule.com;48.8577984,2.3568569999999998
75;Théâtre des Mathurins;36, rue des Mathurins;;;75008;Paris 08;contact@theatredesmathurins.com;01 42 65 62 46;01 49 24 91 69;http://www.theatredesmathurins.com/;48.873263,2.325684
75;Théâtre de la Porte Saint-Martin;18, boulevard Saint-Martin;;;75010;Paris 10;jrc@theatre-portestmartin.fr;01 42 08 06 93 (secrétariat);01 42 40 18 33;http://www.portestmartin.com;48.8688996,2.3569994
75;Comédie Bastille;5, rue Nicolas Appert;;;75011;Paris 11;di.constant@comedie-bastille.com;01 48 07 27 28;01 48 07 07 15;http://www.comedie-bastille.com;48.85883,2.370123
75;l'International;5-7, rue Moret;;;75011;Paris 11;contact@linternational.fr;01 49 29 76 45;;http://www.linternational.fr/;48.8667795,2.3799041
78;Bibliothèque municipale de Verneuil sur Seine;17 résidence Delapierre;;;78480;Verneuil-sur-Seine;;01 39 71 57 28;01 39 71 57 29;http://www.ville-verneuil-sur-seine.fr/;48.9790343,1.9766537999999998
91;Conservatoire à rayonnement départemental d'Evry;9-11, cours Monseigneur Roméro;;;91000;Evry;;;;http://www.www.salondulivre-evry.fr;48.622878,2.4277639
91;Théâtre Brétigny, Scène conventionnée du Val-d'Orge;Espace Jules Verne;7 rue Henri Douard;;91220;Brétigny-sur-Orge;info@theatre-bretigny.fr;01 60 85 20 85;01 60 85 20 90;http://www.theatre-bretigny.fr;48.61229849999999,2.3138987
92;Maison de la Musique;Conservatoire de Nanterre;8 rue des Anciennes-Mairies;;92000;Nanterre;;01 41 37 94 20;01 41 37 06 45;http://www.nanterre.fr/Envies/Culture;48.8913853,2.1980475999999998
92;Médiathèque de Montrouge;32 rue Gabriel Péri;;;92120;Montrouge;;01 46 12 75 95;;http://www.ville-montrouge.fr/temps-libre/mediatheque/;48.8183091,2.3209664
94;MJC de Créteil;rue Charpy;;;94000;Créteil;;01 48 99 75 40;01 48 99 68 95;http://www.mjcclub.com/;48.7871888,2.4530932
92;MJC de la Vallée - La Salamandre;47 rue de Stalingrad;;;92370;Chaville;mjc_chav@club-internet.fr;01 47 50 23 93;01 47 50 34 84;http://www.mjcdelavallee-chaville.com/;48.8084333,2.1885999
93;Théâtre des Loges;49 rue des Sept-Arpents;;;93500;Pantin;correspondance@theatre-des-loges.fr;01 48 46 54 73;;http://www.theatre-des-loges.fr;48.889834,2.402615
75;Foranim;48, rue Bargue;;;75015;Paris 15;accueil@foranim.org;01 47 83 79 59;;http://foranim.org/;48.8377741,2.3090004
77;Théâtre de Chelles;Place Martyrs de Châteaubriant;;;77500;Chelles;;01 64 21 20 36;;http://theatre.chelles.fr/;48.87795819999999,2.5943793
75;Ars Longa;67, avenue Parmentier;;;75011;Paris 11;info.arslonga@gmail.com;01 43 55 47 71;;http://www.arslonga.info;48.8639625,2.3754939999999998
78;Théâtre Alphonse Daudet;26 rue du Moulin-à-Vent;;;78310;Coignières;eadaudet@wanadoo.fr;01 30 62 36 00;01 30 62 47 94;http://www.theatrealphonsedaudet.fr;48.7555353,1.9188245
78;Bibliothèque de La Mosaïque à Plaisir;98 Avenue François Mitterrand;;;78370;Plaisir;;01 30 79 59 60;;http://www.ville-plaisir.fr/;48.8203058,1.9527505
78;MJC Les terrasses;avenue du Pont;;;78700;Conflans-Sainte-Honorine;contact@mjcconflans.org;01 39 19 20 09;01 39 19 25 54;http://www.mjcconflans.org;48.990795,2.0817979
